slot,id,time,rate [ct./kWh],energy [kWh],seller,buyer
2018-08-14T12:00:00+02:00,2278f08f-8aa6-48e5-a342-a025766e946d,2018-08-14T12:00:00+02:00,30.3,0.025,IAA House 4,IAA House 2
2018-08-14T12:00:00+02:00,9c9e351a-e959-4718-bdc6-9f0a25442fac,2018-08-14T12:00:15+02:00,30.3,0.0087,IAA House 4,IAA House 3
2018-08-14T12:00:00+02:00,0a4202dc-4467-46ce-b819-c74f11824041,2018-08-14T12:09:15+02:00,23.028,0.09890000000000002,IAA House 4,IAA House 1
2018-08-14T12:15:00+02:00,80d4d913-ba86-496f-bb0e-acf243d2184e,2018-08-14T12:15:00+02:00,30.3,0.025,IAA House 4,IAA House 2
2018-08-14T12:15:00+02:00,ff0116c4-efad-4223-96c8-2bbc3c85c01f,2018-08-14T12:15:00+02:00,30.3,0.025,IAA House 5,IAA House 2
2018-08-14T12:15:00+02:00,5236a523-9496-4685-bb7d-21cd197caecc,2018-08-14T12:15:00+02:00,30.3,0.025,IAA House 4,Cell Tower
2018-08-14T12:15:00+02:00,32429cb4-bac4-49dd-a873-67b6171cabb4,2018-08-14T12:15:15+02:00,30.3,0.008400000000000003,IAA House 5,IAA House 3
2018-08-14T12:30:00+02:00,97206408-c8c1-4db4-ab8b-558a36e1b594,2018-08-14T12:30:00+02:00,30.3,0.025,IAA House 4,IAA House 2
2018-08-14T12:30:00+02:00,04803aac-4db6-4312-bb2e-d5e6a92f37ab,2018-08-14T12:30:00+02:00,30.3,0.025,IAA House 5,Cell Tower
2018-08-14T12:30:00+02:00,f9dc3606-7aca-469e-acb7-5a7344e7aba0,2018-08-14T12:30:15+02:00,30.3,0.008600000000000002,IAA House 5,IAA House 3
2018-08-14T12:45:00+02:00,b2b68ef9-e5a8-43be-a205-75733aba90c5,2018-08-14T12:45:00+02:00,30.3,0.025,IAA House 4,Cell Tower
2018-08-14T12:45:00+02:00,c8c651ca-38ab-4d63-9256-1fb37203f869,2018-08-14T12:45:00+02:00,30.3,0.025,IAA House 4,IAA House 2
2018-08-14T12:45:00+02:00,868e1630-1200-464d-9d1f-aa5a9d8671eb,2018-08-14T12:45:00+02:00,30.3,0.025,IAA House 4,IAA House 2
2018-08-14T12:45:00+02:00,8161d2db-ea26-49b7-8fdc-1694ac3ee6b7,2018-08-14T12:45:15+02:00,30.3,0.009300000000000001,IAA House 4,IAA House 3
2018-08-14T12:45:00+02:00,338a39fb-57d3-40f4-82f1-5098ba31b01c,2018-08-14T12:54:15+02:00,23.028,0.09709999999999999,IAA House 4,IAA House 5
2018-08-14T13:00:00+02:00,456f8ec2-942f-4366-84cf-24fe3921b6f9,2018-08-14T13:00:00+02:00,30.3,0.025,IAA House 5,Cell Tower
2018-08-14T13:00:00+02:00,ac353fa9-69cb-4228-987b-64b770a30a02,2018-08-14T13:00:00+02:00,30.3,0.025,IAA House 4,IAA House 2
2018-08-14T13:00:00+02:00,81ac3f6f-e348-4399-89d2-c7eb8cee4e5f,2018-08-14T13:00:00+02:00,30.3,0.014499999999999999,IAA House 5,IAA House 2
